Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Pago de Carraovejas El Anejón,Pago de Carraovejas,Castilla y León,Ribera del Duero,2012.0,Red,"Tempranillo (78%), Cabernet Sauvignon (11%), Merlot (11%)",15.0,15.0,65.0
Viña Pedrosa La Navilla,Bodegas Hnos. Pérez Pascuas,Castilla y León,Ribera del Duero,2015.0,Red,Tempranillo,14.5,14.5,21.0
Astrales,Bodegas Los Astrales,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,14.0,14.5,24.0
La Hormiga de Antídoto,Bodegas Antídoto,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,14.5,14.5,24.0
Matsu El Pícaro,Matsu Bodega y Viñedos Ecologicos,Castilla y León,Toro,2015.0,Red,Tempranillo,14.5,14.0,7.0
Antídoto,Bodegas Antídoto,Castilla y León,Ribera del Duero,2015.0,Red,Tempranillo,14.5,14.0,12.0
Cepa Gavilán,Bodegas Hnos. Pérez Pascuas,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,14.5,13.5,10.0
Dominio del Águila Reserva,Dominio del Águila,Castilla y León,Ribera del Duero,2012.0,Red,Tempranillo,14.0,17.0,50.0
Campo Alegre,Bodega Burdigala,Castilla y León,Toro,2013.0,Red,Tempranillo,14.5,16.5,18.5
Hacienda Monasterio,Bodegas Hacienda Monasterio,Castilla y León,Ribera del Duero,2014.0,Red,"Tempranillo (80%), Cabernet Sauvignon (10%), Merlot (10%)",15.0,16.5,25.0
Numanthia,Bodega Numanthia,Castilla y León,Toro,2013.0,Red,Tempranillo,15.0,16.0,40.0
Alonso del Yerro,Viñedos Alonso del Yerro,Castilla y León,Ribera del Duero,2013.0,Red,Tempranillo,14.5,16.0,30.0
Campesino,Bodega Burdigala,Castilla y León,Toro,2015.0,Red,Tempranillo,14.5,15.5,9.0
Paydos,Viñedos Alonso del Yerro,Castilla y León,Toro,2013.0,Red,Tempranillo,14.0,15.5,20.0
Abadía Retuerta Selección Especial,Abadía Retuerta,Castilla y León,Otros Castilla y León,2013.0,Red,"Tempranillo (75%), Cabernet Sauvignon (15%), Syrah (5%), Petit Verdot (5%)",13.5,15.5,20.0
Valdehermoso Crianza,Bodegas y Viñedos Valderiz,Castilla y León,Ribera del Duero,2012.0,Red,Tempranillo,14.5,15.5,11.0
Carmelo Rodero 9 Meses,Bodegas Rodero,Castilla y León,Ribera del Duero,2015.0,Red,Tempranillo,14.0,15.5,11.5
Carmelo Rodero Crianza,Bodegas Rodero,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,14.0,15.5,18.0
Fuentes del Silencio Cepas Viejas,Fuentes del Silencio,Castilla y León,Otros Castilla y León,2015.0,Red,"Mencía, Prieto Picudo, Garnacha",14.5,15.0,22.0
Casajús Barrica,Bodegas J.A. Calvo Casajús,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,14.0,15.0,7.5
Preludio de Sei Solo,Bodegas y Viñedos Sei Solo,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,15.0,15.0,24.0
Aalto,Bodegas Aalto,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,15.0,15.0,27.0
Valderiz Juegabolos,Bodegas y Viñedos Valderiz,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,15.0,15.0,28.0
Fuentes del Silencio,Fuentes del Silencio,Castilla y León,Otros Castilla y León,2015.0,Red,"Mencía, Prieto Picudo, Garnacha",14.0,14.5,14.0
Antonio Moral,Moral Díez Vinos y Viñas,Castilla y León,Ribera del Duero,2014.0,Red,Tempranillo,15.5,14.5,12.5
Valdehermoso Joven,Bodegas y Viñedos Valderiz,Castilla y León,Ribera del Duero,2016.0,Red,Tempranillo,14.0,14.0,5.5
Valdehermoso 9 Meses,Bodegas y Viñedos Valderiz,Castilla y León,Ribera del Duero,2015.0,Red,Tempranillo,14.5,14.0,7.5
