Wine,Winery,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price,Main Variety,Variety Count,Variety Class
Jané Ventura Xarel.lo-Muscat,Jané Ventura,Cataluña,Penedès,2007.0,White,"Muscat, Xarel·lo",12.0,13.0,5.7,Muscat,2,Mixed
Raissant Coupage,Giró Ribot,Cataluña,Penedès,2007.0,White,Otras,12.0,13.0,7.35,Otras,1,Pure
Terrasola Sauvignon Blanc-Parellada,Jean Leon,Cataluña,Catalunya,2007.0,White,"Sauvignon Blanc, Parellada",11.5,13.0,11.0,Sauvignon,2,Mixed
Gessamí,Gramona,Cataluña,Penedès,2007.0,White,"Muscat of Alexandria, Sauvignon Blanc",11.5,12.5,7.5,Muscat,2,Mixed
Viña Heredad Blanc de Blancs,Segura Viudas,Cataluña,Penedès,2007.0,White,"Macabeo, Parellada, Xarel·lo",12.0,12.5,4.5,Macabeo,3,Mixed
Viña Sardà Xarel.lo-Chardonnay,Bodegas Joan Sardá,Cataluña,Penedès,2007.0,White,"Xarel·lo (70%), Chardonnay (30%)",11.5,12.5,3.0,Xarel,2,Mixed
Calcari,Parés Baltà,Cataluña,Penedès,2007.0,White,Xarel·lo,12.5,12.0,8.0,Xarel,1,Pure
Finca Renardes Blanc Coupage,Parató Vinícola,Cataluña,Penedès,2007.0,White,Otras,12.0,11.0,5.0,Otras,1,Pure
Parató Xarel.lo,Parató Vinícola,Cataluña,Penedès,2007.0,White,Xarel·lo,13.0,11.0,5.1,Xarel,1,Pure
Petit Caus Blanco,Can Ràfols dels Caus,Cataluña,Penedès,2007.0,White,"Macabeo, Xarel·lo, Chenin Blanc, Chardonnay, Moscatel",11.5,11.0,6.5,Macabeo,5,Mixed
Raissant Blanc Flor,Giró Ribot,Cataluña,Penedès,2007.0,White,"Muscat, Gewürztraminer",12.5,11.0,6.37,Muscat,2,Mixed
Vallformosa Sauvignon Blanc,Masia Vallformosa,Cataluña,Penedès,2007.0,White,Sauvignon Blanc,12.5,11.0,6.0,Sauvignon,1,Pure
Can Feixes Blanc Selecció,Huguet de Can Feixes,Cataluña,Penedès,2007.0,White,"Parellada (40%), Macabeo (30%), Chardonnay (20%), Malvasia (10%)",12.0,10.5,7.0,Parellada,4,Mixed
Giró Ribot Muscat,Giró Ribot,Cataluña,Penedès,2007.0,White,Muscat,12.0,10.5,6.25,Muscat,1,Pure
Marta de Baltà,Parés Baltà,Cataluña,Penedès,2005.0,Red,Syrah,13.0,16.0,45.0,Syrah,1,Pure
