Wine,Winery,Country,Region,Sub Region,Year,Type,Grape,Alcohol,Review Score,Price
Faustino de Crianza,Bodegas Faustino,España,La Rioja (España),Rioja,1994,Tinto,Tempranillo (100%),,13.5,5.41 
Monte Real Reserva,Bodegas Riojanas,España,La Rioja (España),Rioja,1995,Tinto,"Tempranillo (80%), Mazuelo (15%), Graciano (5%)",,15.0,7.81 
Viñas del Vero Cabernet Sauvignon,Viñas del Vero,España,Aragón,Somontano,1997,Tinto,Cabernet Sauvignon (100%),,16.5,6.01 
Palacio Reserva Especial,Bodegas Palacio,España,La Rioja (España),Rioja,1994,Tinto,Tempranillo (100%),,15.0,21.00
Finca Villacreces Crianza,,España,Castilla y León,Ribera del Duero,1994,Tinto,"Tempranillo (75%), Merlot (15%), Cabernet Sauvignon (10%)",,18.5,12.02
Palo Cortado Península,Emilio Lustau,España,Andalucía,Jerez y Manzanilla,Tipo:  Generoso,Castas: Palomino Fino,,,17.0,11.42
Fondillón Alone,Bocopa,España,Comunidad Valenciana,Alicante,1970,Generoso,Monastrell (100%),,16.0,24.00
Chivite Colección 125,Grupo Chivite,España,N/D,Navarra,1995,Blanco,Chardonnay (100%),,17.5,21.03
Palacio de Bornos Rueda Superior,Bodegas Palacio de Bornos,España,Castilla y León,Rueda,1998,Blanco,"Verdejo (90%), Viura (10%)",,14.0,3.60 
Señorío de San Vicente,Señorío de San Vicente,España,La Rioja (España),Rioja,1991,Tinto,Tempranillo (100%),,17.5,18.03
Bach Extrísimo Seco,Codorniu,España,Cataluña,Penedès,1997,Blanco,"Xarel·lo (60%), Macabeo (25%), Chardonnay (15%)",,14.0,3.00 
Valmiñor,,España,Galicia,Rías Baixas,1997,Blanco,Albariño (100%),,13.5,6.61 
Loriñón Crianza,,España,La Rioja (España),Rioja,1994,Tinto,"Tempranillo (75%), Mazuelo (10%), Garnacha (10%), Graciano (5%)",,15.5,4.25 
Ijalba Graciano,Viña Ijalba,España,La Rioja (España),Rioja,1997,Tinto,Graciano (100%),,14.0,7.80 
Campillo Reserva,Bodegas Campillo,España,La Rioja (España),Rioja,1990,Tinto,Tempranillo (100%),,16.5,9.00 
Signat reserva imperial,Signat,España,Vinos espumosos,Cava,Tipo:  Espumoso,"Castas: Parellada (35%), Xarel·lo (35%), Macabeo (30%)",,,16.5,15.00
Hacienda Monasterio Crianza,Bodegas Hacienda Monasterio,España,Castilla y León,Ribera del Duero,1994,Tinto,"Tinto Fino (77%), Cabernet Sauvignon (10%), Merlot (5%), Malbec (3%)",,15.5,9.00 
Amadís,Rotllan i Torra,España,Cataluña,Priorat,1995,Tinto,"Garnacha (30%), Cariñena (25%), Cabernet Sauvignon (25%), Syrah (10%), Merlot (10%)",,17.5,15.00
L'Avi Arrufi,Celler Piñol,España,Cataluña,Terra Alta,1995,Tinto,Otras (100%),,16.0,9.25 
Cuvée Raventós,Codorniu,España,Vinos espumosos,Cava,Tipo:  Espumoso,"Castas: Macabeo (40%), Xarel·lo (30%), Parellada (30%)",,,15.5,9.00 
René Barbier Chardonnay,René Barbier,España,Cataluña,Penedès,1996,Blanco,Chardonnay (100%),,13.5,9.00 
Ramón Bilbao Reserva 75 años,Bodegas Ramón Bilbao,España,La Rioja (España),Rioja,1994,Tinto,Tempranillo (100%),,17.0,42.07
Enate Gewürztraminer,Viñedos y Crianzas del Alto Aragón (Enate),España,Aragón,Somontano,1999,Blanco,Gewürztraminer (100%),,17.0,9.62 
,N/D,,N/D,N/D,Tipo:  Sin-definir,Alcohol: º,Ph: ,Azucar residual: gr.,,€ / 0
,N/D,,N/D,N/D,Tipo:  Sin-definir,Alcohol: º,Ph: ,Azucar residual: gr.,,€ / 0
Château Brown Rouge,Château Brown,Francia,Burdeos,Graves y Pessac-Léognan,1996,Tinto,"Cabernet Sauvignon (60%), Merlot (40%)",,15.5,21.04
Guitián Godello,Bodegas A Tapada,España,Galicia,Valdeorras,1999,Sake Filtrado Daiginjo Nama,Pulido de arroz: 55%,Castas: Godello (100%),15.5,8.41 
Bodega Pirineos Merlot-Cabernet,Bodega Pirineos,España,Aragón,Somontano,1998,Tinto,"Merlot, Cabernet Sauvignon",13.50,15.5,6.61 
Ochoa Tempranillo,Bodegas Ochoa,España,N/D,Navarra,1997,Tinto,Tempranillo (100%),12.50,14.5,"
Nari"
Quinta dos Roques Reserva,Quinta dos Roques,Portugal,N/D,Dão,1996,Tinto,"Touriga Nacional (60%), Tinta Roriz (20%), Alfrocheiro Preto (10%), Jaen (10%)",12.50,14.5,"
Este"
Coroa d'Ouro,Manoel D. Poças Junior Vinhos,Portugal,N/D,Douro,1997,Tinto,"Touriga Nacional, Touriga Franca, Tinta Barroca",12.00,14.0,"
Le f"
Borsao Crianza,Bodegas Borsao,España,Aragón,Campo de Borja,1996,Tinto,"Tempranillo, Garnacha, Cabernet Sauvignon",13.00,14.0,"
Arom"
Varones Tinto Crianza Cencibel,S.A.T. Santa Rita,España,Castilla La Mancha,La Mancha,1995,Tinto,Cencibel (100%),12.50,14.0,"
Arom"
Guitián Merenzao,Bodegas A Tapada,España,Galicia,Valdeorras,1999,Blanco,Merenzao (100%),12.00,13.5,8.41 
Fontal Crianza,Bodegas Fontana,España,Castilla La Mancha,La Mancha,1997,Tinto,"Tempranillo (85%), Cabernet Sauvignon (15%)",13.00,13.5,5.41 
Varones Crianza,S.A.T. Santa Rita,España,Castilla La Mancha,La Mancha,1995,Tinto,"Cabernet Sauvignon, Cencibel",12.50,13.5,"
Arom"
Coroa d'Ouro,Manoel D. Poças Junior Vinhos,Portugal,N/D,Douro,1999,Blanco,Airén,12.00,13.0,"
Nari"
Tintico Monjardín,Bodega Castillo de Monjardín,España,N/D,Navarra,1999,Tinto,Cabernet Sauvignon,13.00,13.0,"
Se a"
Cosme Palacio y Hermanos,Bodegas Palacio,España,La Rioja (España),Rioja,1997,Tinto,Tempranillo (100%),12.50,13.0,11.42
Coto d'Arcis Crianza,Bodega Sebiran,España,Comunidad Valenciana,Utiel-Requena,1997,Tinto,"Cencibel, Garnacha",12.50,12.5,"
Arom"
Faustino de Crianza,Bodegas Faustino,España,La Rioja (España),Rioja,1996,Tinto,"Graciano (5%), Cencibel (4%)",13.00,12.0,6.61 
Calzadilla Syrah,Bodega y Viñedos Uribes Madero,España,Castilla La Mancha,Otros Castilla La Mancha,1997,Tinto,Syrah (100%),13.00,12.0,7.20 
L'Alzinar Ull de Llebre Crianza,Vins El Cep,España,Cataluña,Penedès,1998,Tinto,"Ull de Llebre (90%), Cabernet Sauvignon (10%)",12.50,12.0,6.00 
Fontal Joven,Bodegas Fontana,España,Castilla La Mancha,La Mancha,1998,Tinto,Cencibel (100%),12.50,11.5,4.51 
Castillo de Monjardín Crianza,Bodega Castillo de Monjardín,España,N/D,Navarra,1997,Tinto,"Merlot (50%), Cabernet Sauvignon (50%)",13.00,11.5,"
Arom"
Remírez de Ganuza Maceración Carbónica,Bodegas Fernando Remírez de Ganuza,España,La Rioja (España),Rioja,1999,Tinto,Tempranillo (100%),13.50,11.0,"
Arom"
Coto de Hayas Garnacha Centenaria Crianza,Bodegas Aragonesas,España,Aragón,Campo de Borja,1998,Tinto,Garnacha (100%),13.00,11.0,"
Arom"
Veronés Blanco,S.A.T. Santa Rita,España,Castilla La Mancha,La Mancha,1999,Blanco,Airén (100%),11.50,10.5,"
Colo"
Coto de Hayas Crianza,Bodegas Aragonesas,España,Aragón,Campo de Borja,1996,Tinto,"Garnacha (60%), Tempranillo (40%)",13.00,11.5,"
Tono"
Montesierra Macabeo,Bodega Pirineos,España,Aragón,Somontano,1999,Blanco,Macabeo (100%),13.00,10.0,3.46 
Coto de Hayas,Bodegas Aragonesas,España,Aragón,Campo de Borja,1999,Tinto,"Garnacha (40%), Tempranillo (30%), Cabernet Sauvignon (30%)",13.00,10.0,"
Nota"
Petit Caus rosado,Can Ràfols dels Caus,España,Cataluña,Penedès,1999,Rosado,Otras (%),11.50,14.0,"
Boni"
Sumarroca Pinot Noir rosado,Bodegues Sumarroca,España,Cataluña,Penedès,1999,Rosado,Pinot Noir (100%),12.50,14.5,"
Orig"
Ros de Pacs,Parés Baltà,España,Cataluña,Penedès,1999,Rosado,Otras (%),,14.0,"
Rosa"
Joanes de Bargota Crianza,Biurko Gorri,España,La Rioja (España),Rioja,1996,Tinto,Otras (%),12.50,11.5,"
Arom"
Parató Pinot Noir rosado,Parató Vinícola,España,Cataluña,Penedès,1999,Rosado,Merlot (100%),12.00,12.0,"
Un v"
Gran Caus rosado,Can Ràfols dels Caus,España,Cataluña,Penedès,1999,Rosado,Merlot (100%),13.00,14.0,"
Llam"
Gramona Pinot Noir rosado,Gramona,España,Cataluña,Penedès,1999,Rosado,Pinot Noir (100%),11.50,12.5,9.00 
Vall-Ventós Merlot rosado,Heretat Vall-Ventós,España,Cataluña,Penedès,1999,Rosado,Merlot (100%),12.50,13.0,"
SApa"
Partal 37 Barricas,Bodega Balcona,España,Murcia,Bullas,1998,Tinto,"Monastrell (60%), Cabernet Sauvignon (20%), Tempranillo (20%)",,16.0,0.00 
Cérvoles,Celler de Cérvoles,España,Cataluña,Costers del Segre,1997,Tinto,"Tempranillo (40%), Cabernet Sauvignon (32%), Garnacha (20%), Merlot (8%)",,17.0,0.00 
Mil.lenium,,España,Cataluña,Terra Alta,1997,Tinto,"Garnacha (70%), Tempranillo (20%), Cabernet Sauvignon (10%)",,15.5,0.00 
Viña Esmeralda,Familia Torres,España,Cataluña,Penedès,1999,Blanco,"Moscatel (85%), Gewürztraminer (15%)",11.00,14.0,0.00 
Lágrima Virgen,Tosos Ecológica,España,Aragón,Cariñena,1999,Tinto,"Garnacha (60%), Cariñena (20%), Tempranillo (20%)",13.50,13.0,"
Cere"
Condes de Albarei Carballo Gallego,,España,Galicia,Rías Baixas,1998,Blanco,Albariño (100%),12.00,13.5,0.00 
Condes de Albarei Clásico,Bodegas Salnesur,España,Galicia,Rías Baixas,1999,Blanco,Albariño (100%),12.00,15.0,0.00 
Do Ferreiro,Gerardo Méndez Lázaro,España,Galicia,Rías Baixas,1999,Blanco,Albariño (100%),12.00,15.5,0.00 
Lusco,Adega Pazos de Lusco,España,Galicia,Rías Baixas,1999,Blanco,Albariño (100%),12.50,16.5,0.00 
Casal de Mein,Viña Mein,España,Galicia,Ribeiro,1999,Blanco,"Treixadura (70%), Godello (15%), Otras (15%)",12.00,15.0,0.00 
Allozo Crianza,Bodegas Centro Españolas,España,Castilla La Mancha,La Mancha,1995,Tinto,Tempranillo (100%),12.50,15.5,"
Rubí"
Bracamonte Crianza,Los Curros (Grupo Yllera),España,Castilla y León,Ribera del Duero,1996,Tinto,Tempranillo (100%),12.70,14.0,"
Guin"
Manuel Manzaneque Syrah,Finca Élez (Manzaneque),España,Castilla La Mancha,Otros Castilla La Mancha,1998,Tinto,Syrah (100%),12.50,12.0,"
Arom"
Corpus,Tolevino,España,Castilla La Mancha,Otros Castilla La Mancha,Tipo:  Tinto,Castas: Otras (%),Alcohol: 12.50º,Para acompañar:,14.0,"
Colo"
Enate Merlot-Merlot,Viñedos y Crianzas del Alto Aragón (Enate),España,Aragón,Somontano,1998,Tinto,Merlot (100%),Para acompañar:,15.5,"
Colo"
Allozo Reserva,Bodegas Centro Españolas,España,Castilla La Mancha,La Mancha,1994,Tinto,Tempranillo (100%),12.50,15.5,"
Colo"
Monjardín Cabernet Sauvignon Gran Reserva,Bodega Castillo de Monjardín,España,Navarra,Navarra,1994,Tinto,Cabernet Sauvignon (100%),13.00,14.0,"
Arom"
Muga Reserva,Bodegas Muga,España,La Rioja (España),Rioja,1994,Tinto,Otras,13.00,14.5,"
Colo"
Condes de Albarei Enxebre,,España,Galicia,Rías Baixas,1999,Blanco,Albariño (100%),12.00,15.0,0.00 
Viña Ardanza,"La Rioja Alta, SA",España,La Rioja (España),Rioja,1994,Tinto,Garnacha (20%),13.00,13.0,"
Colo"
Coto de Hayas Reserva,Bodegas Aragonesas,España,Aragón,Campo de Borja,1995,Tinto,Garnacha (100%),13.50,14.0,"
Colo"
Varones Reserva Tempranillo,S.A.T. Santa Rita,España,Castilla La Mancha,La Mancha,1995,Tinto,Tempranillo (100%),12.50,12.0,"
Colo"
Marqués de Monistrol Reserva de l'Hereu,Marqués de Monistrol,España,Cataluña,Penedès,1995,Tinto,"Cabernet Sauvignon (65%), Tempranillo (35%)",12.50,15.0,"
Colo"
Barzagoso Reserva,"Vinícola Riojana de Alcanadre, S. Coop.",España,La Rioja (España),Rioja,1995,Tinto,"Tempranillo (70%), Mazuelo (15%), Garnacha (15%)",13.00,12.5,"
Colo"
Remírez de Ganuza Reserva,Bodegas Fernando Remírez de Ganuza,España,La Rioja (España),Rioja,1995,Tinto,"Tempranillo (90%), Graciano (10%)",14.00,14.0,"
Arom"
Remírez de Ganuza Reserva,Bodegas Fernando Remírez de Ganuza,España,La Rioja (España),Rioja,1996,Tinto,"Tempranillo (90%), Graciano (10%)",14.00,16.5,"
Colo"
Gran Vos Reserva,Viñas del Vero,España,Aragón,Somontano,1966,Tinto,"Merlot (65%), Cabernet Sauvignon (30%), Pinot Noir (5%)",13.50,14.0,"
Meni"
Enate Reserva Especial,Viñedos y Crianzas del Alto Aragón (Enate),España,Aragón,Somontano,1996,Tinto,"Cabernet Sauvignon (80%), Merlot (20%)",14.00,17.5,"
Buen"
Enate Cabernet Sauvignon,Viñedos y Crianzas del Alto Aragón (Enate),España,Aragón,Somontano,Tipo:  Tinto,Castas: Cabernet Sauvignon (100%),Alcohol: 13.50º,Para acompañar:,13.5,"
Colo"
Fariña Semi-Dulce,Bodegas Fariña,España,Castilla y León,Otros Castilla y León,1999,Dulce,Moscatel (50%),12.00,13.0,"
Colo"
Vino Dulce de Moscatel,Bodegas Ochoa,España,N/D,Navarra,1999,Dulce,Moscatel de Grano Menudo (100%),11.50,12.5,"
Arom"
Gran Palafox Moscatel Pasa,Bodegas Palafox Zaragoza,España,Aragón,Cariñena,Tipo:  Dulce,Castas: Moscatel (100%),Alcohol: 15.00º,Para acompañar:,14.0,"
Oro "
Condes de Albarei Carballo Gallego,Bodegas Salnesur,España,Galicia,Rías Baixas,1998,Blanco,Albariño (100%),12.00,13.5,0.00 
Condes de Albarei Enxebre,Bodegas Salnesur,España,Galicia,Rías Baixas,1999,Blanco,Albariño (100%),12.00,15.0,0.00 
Le Gory Saumur Blanc,Château Yvonne,Francia,N/D,Loira,1997,Blanco,Chenin Blanc (100%),14.00,16.0,39.00
Silex Pouilly Fumé,Domaine Didier Dagueneau,Francia,N/D,Loira,1998,Blanco,Sauvignon Blanc (100%),13.00,16.0,51.09
Clos de la Coulée de Serrant Savennières,Coulée de Serrant - Nicolas Joly,Francia,N/D,Loira,1990,Blanco,Chenin Blanc (100%),14.00,17.0,90.15
"Clos de la Dioterie, Chinon",Domaine Charles Joguet,Francia,N/D,Loira,1997,Tinto,Cabernet Franc (100%),12.50,14.5,22.24
